,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
61,OTU,14273,,1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
2105,OTU,14307,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,,
2285,OTU,14346,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
238,OTU,14428,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1160,OTU,14442,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
934,OTU,14469,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
2275,OTU,14473,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
88,OTU,14509,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
2013,OTU,14519,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],OR-59,
1812,OTU,14552,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
2303,OTU,14559,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1660,OTU,14624,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1009,OTU,14642,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
178,OTU,14690,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
649,OTU,14787,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1539,OTU,14797,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
765,OTU,14814,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
503,OTU,14830,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
190,OTU,14834,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1621,OTU,14838,,1,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,
247,OTU,14876,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
